交易日期,时间戳,最高价,最低价,开盘价,收盘价,涨跌额
20141208,1417968000,3270.88,3075.7,3108.27,3252.88,127.99
20141209,1418054400,3387.83,3074.52,3233.1,3106.91,-145.97
20141210,1418140800,3229.05,3058.19,3120.21,3221.55,114.64
20141211,1418227200,3254.42,3158.44,3185.16,3183.01,-38.54
20141212,1418313600,3239.45,3167.93,3182.92,3193.23,10.22
20141215,1418572800,3226.22,3143.3,3176.83,3217.23,24.0
20141216,1418659200,3303.4,3207.69,3221.36,3303.4,86.17
20141217,1418745600,3368.19,3275.74,3325.82,3360.6,57.2
20141218,1418832000,3393.71,3322.23,3359.09,3345.93,-14.67
20141219,1418918400,3397.18,3280.92,3345.63,3383.17,37.24
20141222,1419177600,3455.21,3357.66,3396.25,3394.48,11.31
20141223,1419264000,3431.78,3316.91,3358.8,3324.92,-69.56
20141224,1419350400,3340.36,3188.5,3332.15,3230.39,-94.53
20141225,1419436800,3335.78,3226.32,3254.48,3335.42,105.03
20141226,1419523200,3453.34,3335.01,3343.64,3445.84,110.42
20141229,1419782400,3524.28,3405.84,3502.18,3455.46,9.62
20141230,1419868800,3491.83,3422.17,3450.81,3457.55,2.09
20141231,1419955200,3542.34,3452.5,3462.39,3533.71,76.16
20150105,1420387200,3669.04,3551.51,3566.09,3641.54,107.83
20150106,1420473600,3683.23,3587.23,3608.43,3641.06,-0.48
20150107,1420560000,3671.19,3601.7,3620.92,3643.79,2.73
20150108,1420646400,3659.95,3552.1,3650.07,3559.26,-84.53
20150109,1420732800,3689.75,3536.4,3547.57,3546.72,-12.54
20150112,1420992000,3560.53,3461.32,3531.52,3513.58,-33.14
20150113,1421078400,3550.16,3494.77,3506.45,3514.04,0.46
20150114,1421164800,3547.24,3471.56,3522.91,3502.42,-11.62
20150115,1421251200,3604.12,3482.27,3501.72,3604.12,101.7
20150116,1421337600,3662.16,3601.26,3616.25,3635.15,31.03
20150119,1421596800,3497.25,3330.98,3414.01,3355.16,-279.99
20150120,1421683200,3419.2,3325.68,3336.79,3396.22,41.06
20150121,1421769600,3557.79,3409.43,3420.49,3548.89,152.67
20150122,1421856000,3576.76,3520.05,3551.05,3567.61,18.72
20150123,1421942400,3627.81,3548.63,3582.09,3571.73,4.12
20150126,1422201600,3611.62,3559.38,3580.12,3607.99,36.26
20150127,1422288000,3616.26,3510.02,3614.04,3574.93,-33.06
20150128,1422374400,3583.31,3512.39,3547.24,3525.32,-49.61
20150129,1422460800,3505.58,3453.9,3474.92,3481.8,-43.52
20150130,1422547200,3514.22,3431.94,3496.89,3434.39,-47.41
20150202,1422806400,3407.26,3347.09,3360.19,3353.96,-80.43
20150203,1422892800,3441.71,3360.72,3388.6,3437.45,83.49
20150204,1422979200,3476.82,3399.57,3446.14,3401.77,-35.68
20150205,1423065600,3487.95,3366.86,3487.95,3366.95,-34.82
20150206,1423152000,3374.05,3285.94,3352.33,3312.42,-54.53
20150209,1423411200,3376.53,3298.6,3305.73,3345.92,33.5
20150210,1423497600,3407.18,3339.55,3345.08,3406.94,61.02
20150211,1423584000,3445.66,3412.14,3415.98,3434.12,27.18
20150212,1423670400,3453.58,3405.63,3435.36,3442.87,8.75
20150213,1423756800,3509.51,3452.08,3458.83,3469.83,26.96
20150216,1424016000,3504.48,3466.61,3473.29,3499.48,29.65
20150217,1424102400,3536.82,3511.09,3511.54,3522.32,22.84
20150225,1424793600,3529.55,3463.96,3529.55,3478.73,-43.59
20150226,1424880000,3569.33,3456.87,3473.71,3566.3,87.57
20150227,1424966400,3594.81,3560.46,3565.23,3572.84,6.54
20150302,1425225600,3608.69,3566.53,3603.45,3601.27,28.43
20150303,1425312000,3579.32,3504.2,3579.32,3507.9,-93.37
20150304,1425398400,3540.91,3497.17,3514.67,3530.82,22.92
20150305,1425484800,3517.08,3467.68,3513.25,3496.34,-34.48
20150306,1425571200,3516.24,3472.39,3501.18,3478.52,-17.82
20150309,1425830400,3546.71,3417.49,3449.7,3537.75,59.23
20150310,1425916800,3551.21,3511.99,3523.64,3520.61,-17.14
20150311,1426003200,3568.92,3512.22,3524.58,3524.65,4.04
20150312,1426089600,3603.34,3536.53,3557.69,3592.84,68.19
20150313,1426176000,3641.39,3594.74,3604.67,3617.66,24.82
20150316,1426435200,3705.74,3621.12,3641.77,3705.67,88.01
20150317,1426521600,3762.58,3716.81,3733.96,3757.12,51.45
20150318,1426608000,3846.06,3763.85,3769.09,3846.06,88.94
20150319,1426694400,3859.13,3809.71,3851.25,3839.74,-6.32
20150320,1426780800,3916.86,3832.42,3852.49,3892.57,52.83
20150323,1427040000,3972.3,3922.21,3923.08,3972.06,79.49
20150324,1427126400,3989.86,3883.78,3980.07,3973.05,0.99
20150325,1427212800,3980.72,3913.99,3961.58,3940.41,-32.64
20150326,1427299200,3992.0,3892.88,3921.75,3950.0,9.59
20150327,1427385600,3993.03,3932.87,3957.54,3971.7,21.7
20150330,1427644800,4101.65,3999.02,3999.02,4088.18,116.48
20150331,1427731200,4166.02,4037.77,4138.89,4051.2,-36.98
20150401,1427817600,4139.5,4046.94,4057.5,4123.9,72.7
20150402,1427904000,4156.84,4068.65,4149.95,4124.78,0.88
20150403,1427990400,4170.56,4092.38,4104.67,4170.54,45.76
20150407,1428336000,4260.47,4197.02,4213.89,4260.04,89.5
20150408,1428422400,4304.78,4204.83,4277.45,4295.8,35.76
20150409,1428508800,4332.17,4212.61,4316.96,4262.14,-33.66
20150410,1428595200,4351.69,4231.2,4249.38,4344.42,82.28
20150413,1428854400,4432.02,4361.59,4394.05,4421.07,76.65
20150414,1428940800,4474.35,4385.91,4432.13,4438.18,17.11
20150415,1429027200,4476.0,4379.61,4439.31,4380.51,-57.67
20150416,1429113600,4513.77,4335.63,4355.49,4513.55,133.04
20150417,1429200000,4630.27,4553.9,4578.68,4596.14,82.59
20150420,1429459200,4671.17,4492.6,4615.03,4521.92,-74.22
20150421,1429545600,4620.06,4504.56,4520.46,4619.16,97.24
20150422,1429632000,4740.93,4632.59,4637.06,4739.81,120.65
20150423,1429718400,4782.04,4693.97,4764.48,4740.89,1.08
20150424,1429804800,4730.43,4618.32,4682.63,4702.64,-38.25
20150427,1430064000,4810.49,4735.31,4753.87,4807.59,104.95
20150428,1430150400,4839.08,4703.57,4811.32,4741.86,-65.73
20150429,1430236800,4797.93,4695.79,4722.9,4774.33,32.47
20150430,1430323200,4818.73,4749.49,4788.41,4749.89,-24.44
20150504,1430668800,4795.92,4699.4,4757.64,4787.74,37.85
20150505,1430755200,4785.19,4572.98,4785.19,4596.84,-190.9
20150506,1430841600,4700.91,4511.76,4626.23,4553.33,-43.51
20150507,1430928000,4546.34,4467.46,4520.82,4470.09,-83.24
