交易日期,时间戳,最高价,最低价,开盘价,收盘价,涨跌额,北向资金
20150210,1423497600,3407.18,3339.55,3345.08,3406.94,61.02,1629000000
20150211,1423584000,3445.66,3412.14,3415.98,3434.12,27.18,1381000000
20150212,1423670400,3453.58,3405.63,3435.36,3442.87,8.75,1160000000
20150213,1423756800,3509.51,3452.08,3458.83,3469.83,26.96,1914000000
20150216,1424016000,3504.48,3466.61,3473.29,3499.48,29.65,123000000
20150217,1424102400,3536.82,3511.09,3511.54,3522.32,22.84,221000000
20150225,1424793600,3529.55,3463.96,3529.55,3478.73,-43.59,1011000000
20150226,1424880000,3569.33,3456.87,3473.71,3566.3,87.57,-452000000
20150227,1424966400,3594.81,3560.46,3565.23,3572.84,6.54,673000000
20150302,1425225600,3608.69,3566.53,3603.45,3601.27,28.43,746000000
20150303,1425312000,3579.32,3504.2,3579.32,3507.9,-93.37,94000000
20150304,1425398400,3540.91,3497.17,3514.67,3530.82,22.92,305000000
20150305,1425484800,3517.08,3467.68,3513.25,3496.34,-34.48,642000000
20150306,1425571200,3516.24,3472.39,3501.18,3478.52,-17.82,390000000
20150309,1425830400,3546.71,3417.49,3449.7,3537.75,59.23,589000000
20150310,1425916800,3551.21,3511.99,3523.64,3520.61,-17.14,53000000
20150311,1426003200,3568.92,3512.22,3524.58,3524.65,4.04,876000000
20150312,1426089600,3603.34,3536.53,3557.69,3592.84,68.19,1582000000
20150313,1426176000,3641.39,3594.74,3604.67,3617.66,24.82,1584000000
20150316,1426435200,3705.74,3621.12,3641.77,3705.67,88.01,1374000000
20150317,1426521600,3762.58,3716.81,3733.96,3757.12,51.45,2112000000
20150318,1426608000,3846.06,3763.85,3769.09,3846.06,88.94,1591000000
20150319,1426694400,3859.13,3809.71,3851.25,3839.74,-6.32,61000000
20150320,1426780800,3916.86,3832.42,3852.49,3892.57,52.83,1141000000
20150323,1427040000,3972.3,3922.21,3923.08,3972.06,79.49,1848000000
20150324,1427126400,3989.86,3883.78,3980.07,3973.05,0.99,-1636000000
20150325,1427212800,3980.72,3913.99,3961.58,3940.41,-32.64,-31000000
20150326,1427299200,3992.0,3892.88,3921.75,3950.0,9.59,-1014000000
20150327,1427385600,3993.03,3932.87,3957.54,3971.7,21.7,107000000
20150330,1427644800,4101.65,3999.02,3999.02,4088.18,116.48,-1133000000
20150331,1427731200,4166.02,4037.77,4138.89,4051.2,-36.98,-1391000000
20150401,1427817600,4139.5,4046.94,4057.5,4123.9,72.7,-14000000
20150408,1428422400,4304.78,4204.83,4277.45,4295.8,35.76,-4021000000
20150409,1428508800,4332.17,4212.61,4316.96,4262.14,-33.66,-5082000000
20150410,1428595200,4351.69,4231.2,4249.38,4344.42,82.28,-885000000
20150413,1428854400,4432.02,4361.59,4394.05,4421.07,76.65,931000000
20150414,1428940800,4474.35,4385.91,4432.13,4438.18,17.11,428000000
20150415,1429027200,4476.0,4379.61,4439.31,4380.51,-57.67,1029000000
20150416,1429113600,4513.77,4335.63,4355.49,4513.55,133.04,1575000000
20150417,1429200000,4630.27,4553.9,4578.68,4596.14,82.59,1596000000
20150420,1429459200,4671.17,4492.6,4615.03,4521.92,-74.22,-1147000000
20150421,1429545600,4620.06,4504.56,4520.46,4619.16,97.24,1386000000
20150422,1429632000,4740.93,4632.59,4637.06,4739.81,120.65,723000000
20150423,1429718400,4782.04,4693.97,4764.48,4740.89,1.08,-739000000
20150424,1429804800,4730.43,4618.32,4682.63,4702.64,-38.25,29000000
20150427,1430064000,4810.49,4735.31,4753.87,4807.59,104.95,1065000000
20150428,1430150400,4839.08,4703.57,4811.32,4741.86,-65.73,-261000000
20150429,1430236800,4797.93,4695.79,4722.9,4774.33,32.47,275000000
20150430,1430323200,4818.73,4749.49,4788.41,4749.89,-24.44,-444000000
20150504,1430668800,4795.92,4699.4,4757.64,4787.74,37.85,44000000
20150505,1430755200,4785.19,4572.98,4785.19,4596.84,-190.9,777000000
