交易日期,北向资金
20141117,0
20141118,0
20141119,0
20141120,0
20141121,0
20141124,0
20141125,0
20141126,0
20141127,0
20141128,0
20141201,0
20141202,0
20141203,0
20141204,0
20141205,0
20141208,0
20141209,0
20141210,0
20141211,0
20141212,0
20141215,0
20141216,0
20141217,0
20141218,0
20141219,0
20141222,0
20141223,0
20141229,0
20141230,0
20141231,0
20150105,0
20150106,0
20150107,0
20150108,0
20150109,0
20150112,0
20150113,0
20150114,0
20150115,0
20150116,0
20150119,0
20150120,0
20150121,0
20150122,0
20150123,0
20150126,0
20150127,0
20150128,0
20150129,0
20150130,0
20150202,0
20150203,0
20150204,0
20150205,0
20150206,0
20150209,0
20150210,1629000000
20150211,1381000000
20150212,1160000000
20150213,1914000000
20150216,123000000
20150217,221000000
20150225,1011000000
20150226,-452000000
20150227,673000000
20150302,746000000
20150303,94000000
20150304,305000000
20150305,642000000
20150306,390000000
20150309,589000000
20150310,53000000
20150311,876000000
20150312,1582000000
20150313,1584000000
20150316,1374000000
20150317,2112000000
20150318,1591000000
20150319,61000000
20150320,1141000000
20150323,1848000000
20150324,-1636000000
20150325,-31000000
20150326,-1014000000
20150327,107000000
20150330,-1133000000
20150331,-1391000000
20150401,-14000000
20150408,-4021000000
20150409,-5082000000
20150410,-885000000
20150413,931000000
20150414,428000000
20150415,1029000000
20150416,1575000000
20150417,1596000000
20150420,-1147000000
20150421,1386000000
20150422,723000000
20150423,-739000000
20150424,29000000
20150427,1065000000
20150428,-261000000
20150429,275000000
20150430,-444000000
20150504,44000000
20150505,777000000
20150506,416000000
20150507,2563000000
20150508,765000000
20150511,-77000000
20150512,-407000000
20150513,-402000000
20150514,-187000000
20150515,501000000
20150518,1102000000
20150519,2003000000
20150520,2769000000
20150521,1824000000
20150526,3410000000
20150527,183000000
20150528,-3134000000
20150529,2111000000
20150601,1717000000
20150602,229000000
20150603,32000000
20150604,-1094000000
20150605,-1390000000
20150608,-1291000000
20150609,-1529000000
20150610,1401000000
20150611,-1046000000
20150612,1308000000
20150615,-1253000000
20150616,-45000000
20150617,-1070000000
20150618,545000000
20150619,7731000000
20150623,6859000000
20150624,-3159000000
20150625,-3628000000
20150626,3093000000
20150629,-1412000000
20150702,2708000000
20150703,6980000000
20150706,-13523000000
20150707,-10358000000
20150708,-6626000000
20150709,-3757000000
20150710,-2851000000
20150713,-2302000000
20150714,-1572000000
20150715,-334000000
20150716,-530000000
20150717,194000000
20150720,-379000000
20150721,-671000000
20150722,-623000000
20150723,334000000
20150724,-105000000
20150727,-154000000
20150728,2458000000
20150729,-645000000
20150730,-206000000
20150731,456000000
20150803,-2199000000
20150804,-368000000
20150805,5000000
20150806,209000000
20150807,776000000
20150810,177000000
20150811,657000000
20150812,-204000000
20150813,150000000
20150814,-23000000
20150817,-585000000
20150818,-482000000
20150819,16000000
20150820,-839000000
20150821,-923000000
20150824,8149000000
20150825,7981000000
20150826,7397000000
20150827,4712000000
20150828,-2550000000
20150831,-650000000
20150901,-1290000000
20150902,-3044000000
20150907,-177000000
20150908,4378000000
20150909,-2985000000
20150910,2909000000
20150911,-69000000
20150914,-720000000
20150915,1039000000
20150916,1725000000
20150917,346000000
